FullPath,EventName,OldFullPath,DiffInTicks,DiffInMilliseconds
C:\temp\fwtest\a.txt,created,,0,0
C:\temp\fwtest\a.txt,changed,,7204,1
C:\temp\fwtest\a.txt,deleted,,165845,17
